product_name,price,category,units_sold,stock_after,date,store_id,store_location,promotion_active,holiday,local_event
Yogur Natural,0.8,Lácteos,5,7,2024-02-14,S033,Alicante,0,Sin Festivo,Sin Evento
Pan de Molde,2.55,Panadería,1,14,2025-11-03,S008,Sevilla,0,Sin Festivo,Sin Evento
Pollo Fresco,8.32,Carnes,7,55,2024-12-07,S032,Murcia,1,Sin Festivo,Sin Evento
Yogur Natural,3.06,Lácteos,2,53,2024-01-22,S037,Málaga,0,Sin Festivo,Sin Evento
Vino Tinto Rioja,4.62,Bebidas,1,32,2025-11-01,S006,Barcelona,0,Todos los Santos,Sin Evento
Paraguas,16.66,Hogar,5,43,2024-04-06,S050,Barcelona,0,Sin Festivo,Sin Evento
Pan de Molde,2.58,Panadería,4,0,2025-04-11,S043,Alicante,0,Sin Festivo,Sin Evento
Yogur Natural,3.16,Lácteos,2,33,2025-09-26,S005,Palma de Mallorca,0,Sin Festivo,Sin Evento
Aceite de Oliva,9.03,Alimentación,1,1,2024-05-15,S023,Murcia,0,Sin Festivo,Sin Evento
Aceite de Oliva,3.79,Alimentación,6,89,2025-08-13,S037,Sevilla,0,Sin Festivo,Sin Evento
Papel Higiénico,1.55,Higiene,4,34,2025-11-21,S024,Barcelona,1,Sin Festivo,Sin Evento
Aceite de Oliva,2.37,Alimentación,12,81,2024-02-16,S010,Madrid,1,Sin Festivo,Sin Evento
Aceite de Oliva,8.07,Alimentación,1,44,2024-11-19,S008,Bilbao,0,Sin Festivo,Sin Evento
Paraguas,5.64,Hogar,0,18,2024-11-04,S040,Barcelona,0,Sin Festivo,Sin Evento
Aceite de Oliva,4.45,Alimentación,7,15,2025-07-24,S040,Málaga,0,Sin Festivo,Sin Evento
Turrón de Almendras,10.87,Alimentación (Navidad),0,39,2025-03-27,S016,Palma de Mallorca,0,Sin Festivo,Sin Evento
Papel Higiénico,1.34,Higiene,7,53,2025-09-12,S028,Valencia,0,Sin Festivo,Sin Evento
Manzanas Fuji,5.85,Frutas y Verduras,0,106,2025-02-11,S041,Sevilla,0,Sin Festivo,Sin Evento
Cerveza Lager,9.96,Bebidas,0,0,2024-06-15,S030,Palma de Mallorca,0,Sin Festivo,Sin Evento
Paraguas,17.15,Hogar,1,0,2024-08-01,S035,Zaragoza,0,Sin Festivo,Sin Evento
Turrón de Almendras,10.93,Alimentación (Navidad),13,1,2025-08-09,S027,Zaragoza,1,Sin Festivo,Sin Evento
Yogur Natural,3.17,Lácteos,2,8,2024-12-02,S021,Valencia,0,Sin Festivo,Sin Evento
Vino Tinto Rioja,6.98,Bebidas,1,55,2025-11-03,S011,Sevilla,0,Sin Festivo,Sin Evento
Paraguas,6.12,Hogar,5,15,2024-01-22,S024,Barcelona,0,Sin Festivo,Sin Evento
Pan de Molde,1.92,Panadería,5,6,2024-08-06,S029,Barcelona,0,Sin Festivo,Sin Evento
Yogur Natural,0.7,Lácteos,10,123,2024-07-16,S012,Palma de Mallorca,0,Sin Festivo,Sin Evento
Cerveza Lager,4.81,Bebidas,0,18,2024-02-12,S026,Valencia,0,Sin Festivo,Sin Evento
Paraguas,7.36,Hogar,4,0,2024-07-28,S043,Madrid,1,Sin Festivo,Sin Evento
Vino Tinto Rioja,3.55,Bebidas,7,15,2025-07-24,S041,Barcelona,0,Sin Festivo,Sin Evento
Turrón de Almendras,7.2,Alimentación (Navidad),4,43,2024-10-31,S009,Murcia,0,Sin Festivo,Sin Evento
Yogur Natural,1.13,Lácteos,1,18,2024-05-24,S011,Alicante,0,Sin Festivo,Sin Evento
Protector Solar,8.67,Cuidado Personal,0,2,2024-03-17,S012,Madrid,1,Sin Festivo,Sin Evento
Leche Entera,0.77,Lácteos,0,24,2025-04-27,S026,Madrid,0,Sin Festivo,Sin Evento
Papel Higiénico,5.21,Higiene,1,39,2024-10-09,S001,Madrid,0,Sin Festivo,Sin Evento
Cerveza Lager,7.23,Bebidas,4,11,2024-05-27,S048,Sevilla,0,Sin Festivo,Sin Evento
Detergente Líquido,5.93,Limpieza,1,115,2025-01-16,S001,Bilbao,0,Sin Festivo,Sin Evento
Aceite de Oliva,8.51,Alimentación,0,76,2025-11-25,S049,Bilbao,0,Sin Festivo,Concierto Grande
Manzanas Fuji,2.28,Frutas y Verduras,2,55,2025-03-09,S027,Barcelona,1,Sin Festivo,Sin Evento
Protector Solar,7.55,Cuidado Personal,2,48,2024-07-12,S017,Barcelona,0,Sin Festivo,Sin Evento
Vino Tinto Rioja,11.9,Bebidas,0,85,2024-01-18,S002,Valencia,0,Sin Festivo,Sin Evento
